epoch,mAP_50:95,AP_50,AP_75,train_loss,val_loss,train_loss_box_reg,val_loss_box_reg,lr,duration_s
96,0.7149,1.0000,0.9501,0.4400,0.4187,0.2480,0.2316,0.000315,65.46
97,0.7426,1.0000,0.9388,0.4411,0.3921,0.2488,0.2167,0.000305,65.10
98,0.5417,0.9802,0.4947,0.4538,0.6807,0.2573,0.3724,0.000295,65.65
99,0.6978,1.0000,0.9585,0.4560,0.4541,0.2595,0.2522,0.000285,65.29
100,0.6741,1.0000,0.9079,0.4502,0.4560,0.2558,0.2567,0.000275,65.51
101,0.7477,1.0000,1.0000,0.4408,0.3870,0.2504,0.2117,0.000266,65.71
102,0.7305,1.0000,0.9333,0.4356,0.3801,0.2477,0.2133,0.000256,65.47
103,0.6793,1.0000,0.9657,0.4726,0.4686,0.2657,0.2574,0.000247,65.59
104,0.6733,1.0000,0.9280,0.4722,0.4873,0.2676,0.2791,0.000238,65.34
105,0.7040,1.0000,0.9257,0.4539,0.3973,0.2574,0.2292,0.000228,65.49
106,0.7177,1.0000,1.0000,0.4377,0.4238,0.2478,0.2398,0.000219,65.23
107,0.7111,1.0000,1.0000,0.4557,0.4714,0.2623,0.2623,0.000211,65.61
108,0.6811,1.0000,0.9297,0.4394,0.4821,0.2494,0.2655,0.000202,65.35
109,0.7586,1.0000,0.9758,0.4368,0.3664,0.2481,0.2047,0.000193,65.26
110,0.7031,1.0000,0.9741,0.4573,0.4365,0.2593,0.2438,0.000185,65.42
111,0.6769,1.0000,0.9449,0.4314,0.4810,0.2492,0.2642,0.000176,65.16
112,0.7586,1.0000,1.0000,0.4594,0.3845,0.2621,0.2170,0.000168,65.16
113,0.7665,1.0000,0.9799,0.4597,0.3626,0.2618,0.2015,0.000160,65.15
114,0.7075,1.0000,1.0000,0.4556,0.4386,0.2586,0.2501,0.000152,65.28
115,0.6302,1.0000,0.7783,0.4274,0.5698,0.2413,0.3332,0.000145,65.43
116,0.6615,1.0000,0.9469,0.4329,0.5206,0.2489,0.2966,0.000137,65.37
117,0.7153,0.9802,0.9468,0.4236,0.3884,0.2392,0.2129,0.000130,65.38
118,0.7425,1.0000,0.9672,0.4426,0.3737,0.2516,0.2083,0.000122,65.17
119,0.6628,1.0000,0.9035,0.4582,0.5008,0.2586,0.2828,0.000115,65.52
120,0.7684,1.0000,1.0000,0.4325,0.3561,0.2473,0.1972,0.000109,65.51
121,0.5898,1.0000,0.7521,0.4234,0.6038,0.2369,0.3367,0.000102,65.35
122,0.7646,1.0000,1.0000,0.4232,0.3768,0.2407,0.2084,0.000095,65.41
123,0.7642,1.0000,1.0000,0.4531,0.3750,0.2567,0.2100,0.000089,65.56
124,0.7566,1.0000,1.0000,0.4441,0.3654,0.2512,0.2046,0.000083,65.11
125,0.7515,1.0000,0.9665,0.4367,0.3734,0.2474,0.2077,0.000077,65.42
126,0.7421,1.0000,0.9665,0.4202,0.3914,0.2377,0.2199,0.000072,65.54
127,0.7181,1.0000,0.9397,0.4199,0.4050,0.2373,0.2331,0.000066,65.39
128,0.6860,1.0000,0.9734,0.4497,0.5047,0.2562,0.2879,0.000061,65.46
129,0.6964,1.0000,0.9648,0.4424,0.4606,0.2519,0.2650,0.000056,65.50
130,0.6895,1.0000,0.9652,0.4265,0.4781,0.2447,0.2734,0.000051,65.32
131,0.7316,1.0000,0.9660,0.4344,0.4103,0.2463,0.2379,0.000046,65.58
132,0.7618,1.0000,1.0000,0.4221,0.3793,0.2395,0.2122,0.000042,65.41
133,0.7672,1.0000,1.0000,0.4190,0.3465,0.2381,0.1902,0.000038,65.31
134,0.7205,1.0000,0.9672,0.4111,0.4210,0.2337,0.2387,0.000034,65.52
135,0.7286,1.0000,0.9664,0.4515,0.4104,0.2572,0.2326,0.000030,65.48
136,0.7578,1.0000,1.0000,0.3954,0.3692,0.2241,0.2056,0.000026,65.26
137,0.7505,1.0000,0.9717,0.4404,0.3805,0.2468,0.2153,0.000023,65.33
138,0.7493,1.0000,0.9705,0.4188,0.3631,0.2373,0.2047,0.000020,65.38
139,0.7693,1.0000,1.0000,0.4076,0.3536,0.2325,0.1961,0.000017,65.31
140,0.7781,1.0000,1.0000,0.4056,0.3576,0.2281,0.2029,0.000014,65.46
141,0.7547,1.0000,0.9705,0.4132,0.3716,0.2343,0.2087,0.000012,65.48
142,0.7479,1.0000,0.9701,0.4192,0.3886,0.2384,0.2197,0.000009,65.32
143,0.7700,1.0000,0.9701,0.3998,0.3742,0.2283,0.2116,0.000007,65.52
144,0.7483,1.0000,0.9705,0.4026,0.3851,0.2310,0.2163,0.000006,65.38
145,0.7653,1.0000,0.9705,0.4026,0.3741,0.2261,0.2084,0.000004,65.37
146,0.7468,1.0000,0.9689,0.4353,0.3809,0.2486,0.2156,0.000003,65.61
147,0.7693,1.0000,1.0000,0.3914,0.3620,0.2222,0.2021,0.000002,65.42
148,0.7688,1.0000,0.9705,0.4106,0.3619,0.2325,0.2013,0.000001,65.25
149,0.7646,1.0000,0.9705,0.3926,0.3632,0.2230,0.2034,0.000000,65.45
150,0.7689,1.0000,1.0000,0.3913,0.3645,0.2241,0.2046,0.000000,65.58
